n,||u||_2,||u||_inf,E(u),||p||_2,||p||_inf,E(p),||T||_2,||T||_inf,E(T),||S||_2,||S||_inf,E(S)
0,0.0,0.0,0.0,0.5773502691896264,1.0000000000000042,0.5000000000000016,0.22962536955588533,1.0,2.455137533259828,0.0,0.0,0.0
1,42.18171455668092,113.50014155401377,140127.80563215175,18375.78856670454,29775.792244511525,194884552.82646617,0.28151966460226424,1.0,2.5724971451794025,0.0,0.0,0.0
2,51.110980787818924,121.83895888675478,178091.93850589296,25320.41219994938,34980.499262818514,428745664.7640999,0.3267533736238681,1.0,2.8810116907693137,0.0,0.0,0.0
3,40.85126527405273,103.66661800272966,142650.33125878585,25785.32101534512,37376.928530457786,527247724.8502646,0.3686579517810379,1.0,2.750957966358933,0.0,0.0,0.0
4,32.264555526734235,93.27494567717433,121294.15108369573,26790.670168794353,40190.63002497788,645306034.1525024,0.4075687306366559,1.0,2.4413044525560386,0.0,0.0,0.0
5,31.351655394712925,86.59046607763652,112144.67384349476,29408.333520737342,44488.858414848866,789554375.7071407,0.4403224324038757,1.0,2.345167164406347,0.0,0.0,0.0
6,33.260031094704594,86.34127056873605,110356.20319021163,31737.727843882618,47882.06718356096,941140760.0283893,0.46421554542458004,1.0,2.4206355706351235,0.0,0.0,0.0
7,31.809953317613825,82.697800855311,106562.31108532712,32820.1852409908,49741.88220079654,1054775723.1192486,0.48320381101586396,1.0,2.4015296502578787,0.0,0.0,0.0
8,30.680947005889085,79.27709078293368,103151.80952148337,33802.43585668221,51620.27287775564,1146432535.6266906,0.49882157312723274,1.0,2.3511524375536252,0.0,0.0,0.0
9,31.047146882551978,78.18784244779475,102313.61242410314,34813.145792394374,53376.479805095536,1227524309.8232956,0.510971121969262,1.0,2.3538053874846607,0.0,0.0,0.0
10,31.06985483211567,77.09956221622501,102089.94429984274,35497.053394348106,54561.059227968544,1292987632.5730217,0.5204444921111765,1.0,2.357267324362303,0.0,0.0,0.0
11,30.771072506111047,75.73806687267567,101443.8091097534,35995.91141503403,55494.72325308232,1344178526.735719,0.5280837834097925,1.0,2.3454097196744343,0.0,0.0,0.0
12,30.763944092742683,74.87598362865457,101133.86458499174,36444.01058843419,56322.67610985294,1386378148.6045184,0.5341573189108026,1.0,2.3407777199998043,0.0,0.0,0.0
13,30.81893116898004,74.40974383131919,101132.64914233405,36795.67491221048,56959.93226749297,1420686532.672428,0.5389257387034095,1.0,2.3413013411540535,0.0,0.0,0.0
14,30.774359648752153,73.9754747263867,101068.94265433421,37055.833031445574,57444.14977085409,1447754489.892884,0.5427215180610143,1.0,2.339135358792306,0.0,0.0,0.0
15,30.753414368760524,73.64242431995653,101002.13616514538,37268.3411300256,57844.00814569887,1469434315.2788384,0.545749434271539,1.0,2.3371044487861297,0.0,0.0,0.0
16,30.76764033555809,73.41943550328034,101006.79316860052,37440.825712307436,58164.74190695023,1486918897.3412344,0.5481454928542622,1.0,2.336770872778872,0.0,0.0,0.0
17,30.76629402133635,73.22608016039591,101015.95104037497,37573.97092394528,58413.06224478335,1500824222.970533,0.5500463582326157,1.0,2.336398843768044,0.0,0.0,0.0
18,30.759715163816296,73.06274065190998,101011.62722231484,37679.36081637748,58611.177065095566,1511879937.709292,0.5515600108146599,1.0,2.335825540657824,0.0,0.0,0.0
19,30.761480056606565,72.94131407886404,101016.31242123792,37764.37150651886,58770.39631629371,1520723767.4455435,0.5527618519564873,1.0,2.3355984796999656,0.0,0.0,0.0
20,30.762972342710764,72.84547233652799,101025.26702358836,37831.49438364882,58895.79793999844,1527770206.8702161,0.5537152120378549,1.0,2.3355146014557757,0.0,0.0,0.0
21,30.761849329270156,72.76608400378076,101029.9714273441,37884.40008967869,58994.9399283462,1533366887.3337662,0.5544729290955142,1.0,2.335386327366969,0.0,0.0,0.0
22,30.761759131503165,72.70372470195218,101033.85930461038,37926.63429049937,59074.082663772075,1537822645.0261784,0.5550749395075092,1.0,2.3353050573714915,0.0,0.0,0.0
23,30.762282317928328,72.65504306643611,101038.44698354475,37960.209815674956,59136.87095772077,1541369557.2501328,0.5555527411344006,1.0,2.335279821784347,0.0,0.0,0.0
24,30.762230837494634,72.61580526514074,101041.93939090527,37986.758409448186,59186.53661086295,1544187241.4959533,0.5559321591070381,1.0,2.3352563785734586,0.0,0.0,0.0
25,30.762125792922824,72.58448274067526,101044.43865639206,38007.84660374212,59226.00631089616,1546426244.7928994,0.5562335339796309,1.0,2.335236238708403,0.0,0.0,0.0
26,30.76222007825893,72.55983238055092,101046.67454766386,38024.617736674714,59257.36644986127,1548206315.9592369,0.5564727983397414,1.0,2.3352296308934495,0.0,0.0,0.0
27,30.762251545045483,72.54022296122083,101048.52152872688,38037.91525224505,59282.22057225403,1549620390.2471888,0.5566627438888182,1.0,2.3352271240853466,0.0,0.0,0.0
28,30.762219462853206,72.52457092451206,101049.90154393401,38048.46427407776,59301.941467805125,1550743351.8236375,0.5568135682922659,1.0,2.3352244603306174,0.0,0.0,0.0
29,30.76222102232378,72.51217297151132,101051.00985849068,38056.84520557276,59317.604496075146,1551635376.024165,0.5569333118174088,1.0,2.3352239745460213,0.0,0.0,0.0
30,30.76222848149471,72.50234316186342,101051.91879927267,38063.49752981097,59330.03191248386,1552343824.5889032,0.5570283666334543,1.0,2.3352249051309717,0.0,0.0,0.0
31,30.762218822017314,72.49452049392129,101052.62562947157,38068.77530498843,59339.89111470012,1552906312.6208496,0.5571038283129033,1.0,2.3352257186592564,0.0,0.0,0.0
32,30.76221100417584,72.48830881223164,101053.17902189402,38072.96545035469,59347.7178879906,1553352932.8115385,0.5571637348851912,1.0,2.335226594761661,0.0,0.0,0.0
33,30.762208215848304,72.48338291248616,101053.62360634201,38076.29200321739,59353.93010793021,1553707552.8712623,0.5572112887094085,1.0,2.3352276716727474,0.0,0.0,0.0
34,30.762203416511607,72.47954664636588,101053.97534407496,38078.931925031466,59358.859523441395,1553989082.8108513,0.5572490367921711,1.0,2.3352286441636676,0.0,0.0,0.0
35,30.762198212199603,72.48271671553576,101054.25093041982,38081.027299120025,59362.77207749832,1554212578.544476,0.5572790011573068,1.0,2.3352294602567736,0.0,0.0,0.0
36,30.762194580207648,72.48523316891983,101054.46992381297,38082.69066700806,59365.87748185115,1554390002.5932872,0.5573027862855046,1.0,2.3352301916882663,0.0,0.0,0.0
37,30.762191518686837,72.48723075147092,101054.64384960014,38084.0108854628,59368.34204559421,1554530848.181545,0.5573216660859743,1.0,2.3352308241802255,0.0,0.0,0.0
38,30.762188607327865,72.48881575049867,101054.78114562418,38085.05872749525,59370.29807110852,1554642651.3883479,0.5573366522297233,1.0,2.335231343399678,0.0,0.0,0.0
39,30.76218626361262,72.49007368604408,101054.88977485767,38085.89046250805,59371.85060267867,1554731400.3597507,0.557348547613074,1.0,2.3352317739259325,0.0,0.0,0.0
40,30.76218440960974,72.49107218426555,101054.97595897697,38086.55064595215,59373.08283717938,1554801848.1021097,0.5573579895392304,1.0,2.335232131745811,0.0,0.0,0.0
41,30.762182827046356,72.49186459235979,101055.04419674518,38087.07463957749,59374.06083605279,1554857767.1425617,0.5573654840125125,1.0,2.3352324226523495,0.0,0.0,0.0
42,30.76218152226829,72.49249346824855,101055.09821169173,38087.490548080146,59374.83707955549,1554902153.366034,0.5573714326867067,1.0,2.3352326579154394,0.0,0.0,0.0
43,30.762180486091374,72.49299261778977,101055.14104270734,38087.82066889115,59375.45319125343,1554937385.1546907,0.5573761543593232,1.0,2.3352328489180216,0.0,0.0,0.0
44,30.76217966015725,72.49338927203462,101055.17506222005,38088.08274046352,59375.94210443674,1554965349.6272528,0.5573799020679013,1.0,2.335233003913115,0.0,0.0,0.0
