n,||u||_2,||u||_inf,E(u),||p||_2,||p||_inf,E(p),||T||_2,||T||_inf,E(T),||S||_2,||S||_inf,E(S)
0,0.11881460495581567,1.0,11.180087829807231,0.11741304030617387,1.6162316878296301,1.0390184353912562,0.0,0.0,0.0,0.0,0.0,0.0
1,0.14696659182072677,1.0,8.965892726225539,0.08781142796484852,1.6315391508126147,1.1198928265030843,0.0,0.0,0.0,0.0,0.0,0.0
2,0.16352882101881228,1.0,8.284397011518251,0.07673238246780019,1.6364146964141915,1.137951631093276,0.0,0.0,0.0,0.0,0.0,0.0
3,0.17508921751121861,1.0,7.961160169497142,0.07209485482378093,1.6475089218547898,1.1515129212748598,0.0,0.0,0.0,0.0,0.0,0.0
4,0.18389928451751364,1.0000000000000002,7.779468623936011,0.06982661502846751,1.658420134789518,1.1618668964027123,0.0,0.0,0.0,0.0,0.0,0.0
5,0.19096254554888203,1.0,7.668093008769163,0.06866045912640141,1.6681593806054211,1.1701811359003913,0.0,0.0,0.0,0.0,0.0,0.0
6,0.19681387183981433,1.0000000000000002,7.5963437751885055,0.06808120754423864,1.6766421266255342,1.1770668760799525,0.0,0.0,0.0,0.0,0.0,0.0
7,0.2017738485892717,1.0,7.548759864266888,0.06784031941974042,1.6839826492331889,1.18288080435132,0.0,0.0,0.0,0.0,0.0,0.0
8,0.20605074346936333,1.0000000000000002,7.51671402712285,0.0678036562557448,1.6903332547249916,1.1878559706138998,0.0,0.0,0.0,0.0,0.0,0.0
9,0.20978796489803436,1.0,7.495034834889078,0.06789315122790099,1.6958402423009695,1.1921563400041002,0.0,0.0,0.0,0.0,0.0,0.0
10,0.21308868893526614,1.0000000000000002,7.480455513052508,0.0680609536984586,1.7006322291306204,1.1959029148204745,0.0,0.0,0.0,0.0,0.0,0.0
11,0.21602972481288754,1.0,7.470829248775785,0.06827666233246127,1.7048185828283233,1.199188014730184,0.0,0.0,0.0,0.0,0.0,0.0
12,0.21866983202919424,1.0,7.464701676308233,0.0685204847747638,1.7084910248803253,1.2020838708277841,0.0,0.0,0.0,0.0,0.0,0.0
13,0.22105496889762632,1.0000000000000002,7.461063924674976,0.06877933398299234,1.7117260554856848,1.2046481506589615,0.0,0.0,0.0,0.0,0.0,0.0
14,0.2232217454995161,1.0,7.459203080734982,0.06904448719492126,1.7145873872808455,1.206927677673041,0.0,0.0,0.0,0.0,0.0,0.0
15,0.22519977584666323,1.0,7.458608074357876,0.06931012560015005,1.7171281241130776,1.2089610200331928,0.0,0.0,0.0,0.0,0.0,0.0
16,0.22701332644650266,1.0,7.458906760917906,0.06957240080845187,1.719396171507876,1.2107851898802777,0.0,0.0,0.0,0.0,0.0,0.0
17,0.2286825123691146,1.0000000000000002,7.459831186431053,0.06982878016661932,1.721421014923329,1.2124169024710432,0.0,0.0,0.0,0.0,0.0,0.0
18,0.23022415966815316,1.0,7.461182330794673,0.07007769809089318,1.7232381509252868,1.2138848449170783,0.0,0.0,0.0,0.0,0.0,0.0
19,0.23165246558599406,1.0,7.462813783454486,0.070318205133541,1.7248739561022264,1.2152087501849107,0.0,0.0,0.0,0.0,0.0,0.0
20,0.23297949962399006,1.0000000000000002,7.464617890068103,0.07054979521340397,1.7263507893180334,1.2164055882457356,0.0,0.0,0.0,0.0,0.0,0.0
21,0.23421559125700595,1.0,7.46651575589649,0.07077226636215118,1.7276877075037682,1.2174900515703657,0.0,0.0,0.0,0.0,0.0,0.0
22,0.23536963437794126,1.0000000000000002,7.468449959574453,0.07098562311043535,1.7289010286652078,1.218474913675152,0.0,0.0,0.0,0.0,0.0,0.0
23,0.23644932932258367,1.0000000000000002,7.470379180816793,0.07119000772319023,1.7300047882793192,1.2193713142953555,0.0,0.0,0.0,0.0,0.0,0.0
24,0.23746137736886136,1.0,7.472274198598834,0.07138565168221458,1.731011111193221,1.2201889923633449,0.0,0.0,0.0,0.0,0.0,0.0
25,0.2384116385521662,1.0,7.474114884877595,0.0715728415131174,1.731930515384557,1.2209364792679318,0.0,0.0,0.0,0.0,0.0,0.0
26,0.2393052608098013,1.0,7.475887931008625,0.0717518948413965,1.7327721608335829,1.2216212610818686,0.0,0.0,0.0,0.0,0.0,0.0
27,0.2401467864589169,1.0,7.477585119659172,0.07192314377321267,1.7335440542627614,1.2222499161002218,0.0,0.0,0.0,0.0,0.0,0.0
28,0.24094024056545518,1.0,7.479202006918689,0.0720869235312905,1.7342532183866932,1.222828232402607,0.0,0.0,0.0,0.0,0.0,0.0
29,0.2416892047059588,1.0,7.480736915488159,0.07224356485965434,1.734905832566621,1.2233613089916984,0.0,0.0,0.0,0.0,0.0,0.0
30,0.24239687884443023,1.0,7.48219016543427,0.07239338912320682,1.7355073503446878,1.223853643230862,0.0,0.0,0.0,0.0,0.0,0.0
31,0.24306613346386105,1.0,7.483563487375654,0.0725367053233038,1.7360625981926192,1.2243092067082268,0.0,0.0,0.0,0.0,0.0,0.0
32,0.24369955365176418,1.0,7.484859576343951,0.07267380846246517,1.7365758589148943,1.2247315112233554,0.0,0.0,0.0,0.0,0.0,0.0
33,0.24429947650256598,1.0,7.486081754420939,0.07280497884591988,1.7370509424373932,1.2251236662767706,0.0,0.0,0.0,0.0,0.0,0.0
34,0.2448680229397629,1.0,7.487233717605824,0.07293048202028843,1.737491246161079,1.2254884292063122,0.0,0.0,0.0,0.0,0.0,0.0
35,0.2454071248577505,1.0000000000000002,7.488319347911711,0.07305056913233084,1.7378998066297704,1.2258282489338894,0.0,0.0,0.0,0.0,0.0,0.0
36,0.24591854832307788,1.0,7.4893425759123335,0.073165477551519,1.7382793439244162,1.2261453041448702,0.0,0.0,0.0,0.0,0.0,0.0
37,0.24640391344726933,1.0,7.490307282203863,0.07327543164527515,1.7386322999304464,1.2264415366087098,0.0,0.0,0.0,0.0,0.0,0.0
38,0.24686471144070832,1.0,7.491217228756939,0.07338064362839315,1.738960871420582,1.2267186802558188,0.0,0.0,0.0,0.0,0.0,0.0
39,0.24730231927379365,1.0000000000000002,7.492076013089694,0.0734813144326899,1.7392670387287632,1.2269782865471526,0.0,0.0,0.0,0.0,0.0,0.0
40,0.2477180123034438,1.0000000000000002,7.492887039724027,0.07357763456069219,1.7395525906602574,1.2272217466057105,0.0,0.0,0.0,0.0,0.0,0.0
41,0.24811297516688444,1.0,7.4936535045910695,0.07366978489992831,1.7398191461788894,1.2274503105210766,0.0,0.0,0.0,0.0,0.0,0.0
42,0.2484883111980791,1.0,7.494378389002005,0.07375793748388043,1.740068173325474,1.2276651041873392,0.0,0.0,0.0,0.0,0.0,0.0
43,0.2488450505833035,1.0,7.495064460550676,0.07384225619222434,1.7403010057521082,1.2278671439901783,0.0,0.0,0.0,0.0,0.0,0.0
44,0.2491841574397748,1.0,7.495714278908526,0.07392289738759628,1.7405188571994898,1.2280573496197968,0.0,0.0,0.0,0.0,0.0,0.0
45,0.24950653597380232,1.0,7.49633020494233,0.07400001048933304,1.740722834196006,1.2282365552516872,0.0,0.0,0.0,0.0,0.0,0.0
46,0.24981303585172232,1.0,7.496914411956966,0.07407373848669181,1.740913947217352,1.2284055193068415,0.0,0.0,0.0,0.0,0.0,0.0
47,0.25010445689720684,1.0,7.497468898158387,0.0741442183953935,1.7410931205112472,1.2285649329761594,0.0,0.0,0.0,0.0,0.0,0.0
48,0.2503815532118153,1.0000000000000002,7.497995499663316,0.07421158166210064,1.74126120076277,1.2287154276702008,0.0,0.0,0.0,0.0,0.0,0.0
49,0.2506450368014233,1.0000000000000002,7.4984959035625005,0.07427595452165525,1.7414189647523648,1.2288575815346545,0.0,0.0,0.0,0.0,0.0,0.0
50,0.2508955807790177,1.0000000000000002,7.498971660686126,0.07433745831212157,1.7415671261363563,1.2289919251538222,0.0,0.0,0.0,0.0,0.0,0.0
51,0.25113382220398495,1.0,7.4994241978287794,0.0743962097524663,1.741706341462514,1.2291189465482864,0.0,0.0,0.0,0.0,0.0,0.0
52,0.2513603646091707,1.0,7.499854829275804,0.07445232118744072,1.7418372155180823,1.229239095559257,0.0,0.0,0.0,0.0,0.0,0.0
53,0.25157578025942107,1.0,7.500264767536456,0.07450590080398795,1.7419603060936626,1.229352787699713,0.0,0.0,0.0,0.0,0.0,0.0
54,0.25178061217885883,1.0000000000000002,7.500655133237644,0.07455705282302581,1.7420761282359025,1.2294604075420148,0.0,0.0,0.0,0.0,0.0,0.0
55,0.2519753759786258,1.0,7.501026964166967,0.07460587767021389,1.7421851580512215,1.2295623117023902,0.0,0.0,0.0,0.0,0.0,0.0
56,0.2521605615121119,1.0,7.501381223479755,0.07465247212870946,1.7422878361157104,1.2296588314746226,0.0,0.0,0.0,0.0,0.0,0.0
57,0.2523366343806683,1.0,7.501718807102368,0.07469692947691109,1.7423845705369052,1.229750275158389,0.0,0.0,0.0,0.0,0.0,0.0
58,0.2525040373093759,1.0000000000000002,7.502040550375974,0.07473933961337609,1.7424757397100188,1.2298369301216197,0.0,0.0,0.0,0.0,0.0,0.0
59,0.25266319140951504,1.0,7.502347233992584,0.07477978917127526,1.7425616948022091,1.229919064630908,0.0,0.0,0.0,0.0,0.0,0.0
60,0.25281449734190176,1.0,7.5026395892785995,0.07481836162396363,1.742642761997595,1.2299969294796331,0.0,0.0,0.0,0.0,0.0,0.0
61,0.25295833639313836,1.0,7.502918302882967,0.07485513738344393,1.7427192445282167,1.230070759439302,0.0,0.0,0.0,0.0,0.0,0.0
62,0.2530950714750328,1.0,7.503184020926139,0.07489019389279719,1.7427914245160696,1.2301407745564357,0.0,0.0,0.0,0.0,0.0,0.0
63,0.25322504805591817,1.0000000000000002,7.503437352664365,0.07492360571399295,1.7428595646445797,1.230207181314096,0.0,0.0,0.0,0.0,0.0,0.0
64,0.253348595031317,1.0,7.503678873720975,0.0749554446115733,1.7429239096802758,1.2302701736748842,0.0,0.0,0.0,0.0,0.0,0.0
65,0.2534660255402984,1.0,7.503909128933104,0.07498577963344137,1.742984687857183,1.2303299340197762,0.0,0.0,0.0,0.0,0.0,0.0
66,0.2535776377329603,1.0000000000000002,7.5041286348585405,0.07501467718885153,1.7430421121411672,1.2303866339954244,0.0,0.0,0.0,0.0,0.0,0.0
67,0.25368371549368257,1.0,7.504337881983627,0.07504220112455985,1.7430963813833298,1.230440435280786,0.0,0.0,0.0,0.0,0.0,0.0
68,0.2537845291241501,1.0,7.504537336669282,0.07506841279906516,1.7431476813760565,1.230491490282571,0.0,0.0,0.0,0.0,0.0,0.0
69,0.25388033598958093,1.0000000000000002,7.504727442868587,0.07509337115564671,1.7431961858187481,1.2305399427677643,0.0,0.0,0.0,0.0,0.0,0.0
70,0.2539713811311382,1.0,7.504908623645683,0.07511713279403816,1.743242057203926,1.2305859284403153,0.0,0.0,0.0,0.0,0.0,0.0
71,0.25405790430540764,1.0,7.505081921694277,0.07513982759627419,1.7432854753523679,1.2306287232717883,0.0,0.0,0.0,0.0,0.0,0.0
72,0.2541401295967771,1.0000000000000002,7.505247170773797,0.07516135448146458,1.7433264805394326,1.2306702547206059,0.0,0.0,0.0,0.0,0.0,0.0
73,0.25421826646083606,1.0,7.5054044711237005,0.0751818478317988,1.743365328085383,1.2307096751491848,0.0,0.0,0.0,0.0,0.0,0.0
74,0.2542925138193185,1.0,7.505554151797762,0.07520135051232461,1.7434021063050382,1.2307470820585111,0.0,0.0,0.0,0.0,0.0,0.0
75,0.25436306130405456,1.0000000000000002,7.505696586810505,0.07521990664936412,1.7434369235387015,1.2307825823970182,0.0,0.0,0.0,0.0,0.0,0.0
76,0.25443008978281284,1.0,7.505832143326976,0.07523755963885512,1.7434698879676682,1.2308162779909315,0.0,0.0,0.0,0.0,0.0,0.0
77,0.25449377172525783,1.0,7.505961167907454,0.075254351461614,1.7435011028958394,1.230848264028666,0.0,0.0,0.0,0.0,0.0,0.0
