n,||u||_2,||u||_inf,E(u),||p||_2,||p||_inf,E(p),||T||_2,||T||_inf,E(T),||S||_2,||S||_inf,E(S)
0,0.07053217926348021,1.0,33.49811066849463,0.00040311926342883285,0.022389870965137545,0.00034136870318865367,0.0,0.0,0.0,0.0,0.0,0.0
1,0.07379100272480563,1.0,27.523191988410655,0.006790245773657913,0.061247934109076585,0.0010595885345739537,0.0,0.0,0.0,0.0,0.0,0.0
2,0.07731902937423947,1.0,23.996198180002974,0.0059961516557888355,0.06955584474034515,0.0012792023638991548,0.0,0.0,0.0,0.0,0.0,0.0
3,0.08067339907828734,1.0,21.784649386556605,0.005345500072861991,0.07758511685571812,0.0017938433323586658,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0837367047111801,1.0,20.299552255826995,0.004819898933829036,0.08786460229159442,0.0027433425915624763,0.0,0.0,0.0,0.0,0.0,0.0
5,0.08652234070839081,1.0,19.23550054091049,0.004420902578325465,0.10339351780526992,0.004484952707071317,0.0,0.0,0.0,0.0,0.0,0.0
6,0.08909006274002465,1.0,18.45592098445662,0.00416607533590603,0.12621502806975285,0.007577280210818611,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0914952011348211,1.0,17.899896396895716,0.004085260161522374,0.15563644713208785,0.012505141557485427,0.0,0.0,0.0,0.0,0.0,0.0
8,0.09375614700779354,1.0,17.521883567107395,0.004200089709390758,0.1876408371596804,0.019034701014327617,0.0,0.0,0.0,0.0,0.0,0.0
9,0.09584951514268665,1.0,17.274719396349678,0.004468928913875445,0.2174193195179466,0.026018010192874762,0.0,0.0,0.0,0.0,0.0,0.0
10,0.09774061549872119,1.0,17.108152118527183,0.004780442005982189,0.24087644906809524,0.03172734821805885,0.0,0.0,0.0,0.0,0.0,0.0
11,0.09942238098622849,1.0,16.978407974093802,0.0050500982689837765,0.2559237624773954,0.03499408958536297,0.0,0.0,0.0,0.0,0.0,0.0
12,0.10092453052298708,1.0,16.86541638441236,0.005284866043828316,0.2643119603956283,0.03631662490949044,0.0,0.0,0.0,0.0,0.0,0.0
13,0.10231201794448445,1.0,16.762507476389093,0.0055360081106826005,0.26923390089233007,0.03712565972232888,0.0,0.0,0.0,0.0,0.0,0.0
14,0.10367955969125003,1.0,16.67772107566949,0.005861340390247791,0.27305492076039556,0.038373411620528146,0.0,0.0,0.0,0.0,0.0,0.0
15,0.10512388838640456,1.0,16.654451037908036,0.0062925709392211105,0.2768048339244069,0.04010278419352885,0.0,0.0,0.0,0.0,0.0,0.0
16,0.10666093906735072,1.0,16.73053376452027,0.006784080124716628,0.28100340554051945,0.042003269923588236,0.0,0.0,0.0,0.0,0.0,0.0
17,0.10815622540578719,1.0,16.886285105846678,0.007227616138120076,0.28614350625732965,0.04429882113980352,0.0,0.0,0.0,0.0,0.0,0.0
18,0.10943324953185395,1.0,17.05023896989421,0.007566802045402143,0.2920982101608739,0.04719970688944718,0.0,0.0,0.0,0.0,0.0,0.0
19,0.11043564623378624,1.0,17.145061891011643,0.007828230987925901,0.2981664047313308,0.05014903978817252,0.0,0.0,0.0,0.0,0.0,0.0
20,0.11123959497108632,1.0,17.14082197225048,0.008057802382928253,0.30380822947153674,0.05263580591243788,0.0,0.0,0.0,0.0,0.0,0.0
21,0.1119759500390496,1.0,17.06759334871874,0.008296085982176434,0.30873139877954153,0.054655787145338586,0.0,0.0,0.0,0.0,0.0,0.0
22,0.1127645128558855,1.0,16.982310969277314,0.008572254290072146,0.3127384085655838,0.056223282378809164,0.0,0.0,0.0,0.0,0.0,0.0
23,0.11365765347248954,1.0,16.936455056851962,0.008886707553901568,0.31582372489524957,0.057127676032705535,0.0,0.0,0.0,0.0,0.0,0.0
24,0.11460941666792951,1.0,16.945804047430364,0.009206642760647725,0.3182261549321142,0.057541839330021716,0.0,0.0,0.0,0.0,0.0,0.0
25,0.11553423477596789,1.0,16.988482700557622,0.009495415165040395,0.32014798669833566,0.057964533247818084,0.0,0.0,0.0,0.0,0.0,0.0
26,0.11639581948287599,1.0,17.037726230640207,0.009744652880221917,0.3216184013423192,0.05845188408369645,0.0,0.0,0.0,0.0,0.0,0.0
27,0.11721237904043712,1.0,17.084114484750653,0.009969443641753655,0.3227009007612232,0.05881306408762281,0.0,0.0,0.0,0.0,0.0,0.0
28,0.11800674902708914,1.0,17.13043388274981,0.010184711120484108,0.32354422898817725,0.05905256750435543,0.0,0.0,0.0,0.0,0.0,0.0
29,0.11878100741498855,1.0,17.17806198104453,0.010393208927291259,0.32428005267055937,0.05930271245918145,0.0,0.0,0.0,0.0,0.0,0.0
30,0.11953036088890256,1.0,17.223854131461742,0.010589072678821003,0.32495520984065807,0.05957096533694019,0.0,0.0,0.0,0.0,0.0,0.0
31,0.12025905367462493,1.0,17.265897176899667,0.010767447876837035,0.3255595902218811,0.05971228626261779,0.0,0.0,0.0,0.0,0.0,0.0
32,0.12097721833129572,1.0,17.305512792394858,0.01092999595102336,0.32606886086974196,0.05965516887596127,0.0,0.0,0.0,0.0,0.0,0.0
33,0.12169242213461264,1.0,17.343455867177823,0.011082349986205374,0.3264707364872744,0.05952261155393167,0.0,0.0,0.0,0.0,0.0,0.0
34,0.12240836155548564,1.0,17.3790048039573,0.011228914093502405,0.32677864513161237,0.05943545029436437,0.0,0.0,0.0,0.0,0.0,0.0
35,0.12312713571981965,1.0,17.4120546838942,0.01137312909344082,0.32701693630405526,0.05934985976574431,0.0,0.0,0.0,0.0,0.0,0.0
36,0.12385122470891023,1.0,17.44434180265998,0.011517657838229264,0.3272083572116064,0.059193914284037495,0.0,0.0,0.0,0.0,0.0,0.0
37,0.12458149124980003,1.0,17.479731631098396,0.011660278501850386,0.3273868759626986,0.05900423828649959,0.0,0.0,0.0,0.0,0.0,0.0
38,0.12530981917479483,1.0,17.520595007501218,0.01179332810717106,0.3275966179979932,0.058874100246766654,0.0,0.0,0.0,0.0,0.0,0.0
39,0.12601662292683546,1.0,17.564179414098806,0.011908856508429258,0.32786618314313515,0.05887231113655744,0.0,0.0,0.0,0.0,0.0,0.0
40,0.12668086833511688,1.0,17.60382249162399,0.0120062833801688,0.32818206251185017,0.05901254986501426,0.0,0.0,0.0,0.0,0.0,0.0
41,0.12729351984035348,1.0,17.632366497045346,0.012093691585408664,0.328500589869427,0.05923522094518298,0.0,0.0,0.0,0.0,0.0,0.0
42,0.12786163219969615,1.0,17.646120425461508,0.012179421222084638,0.32879776223945006,0.05944864220662935,0.0,0.0,0.0,0.0,0.0,0.0
43,0.1284023147406985,1.0,17.64739746847279,0.012266914882305519,0.3290880356534312,0.059607783770825935,0.0,0.0,0.0,0.0,0.0,0.0
44,0.1289340237781969,1.0,17.64209161630221,0.01235720711486591,0.3294018617215549,0.059737940585612936,0.0,0.0,0.0,0.0,0.0,0.0
45,0.12947078249070676,1.0,17.63566942330733,0.012452547130128479,0.32976285770244984,0.059871059669145604,0.0,0.0,0.0,0.0,0.0,0.0
46,0.1300198959702317,1.0,17.631773201834537,0.012556082543895751,0.3301845706380135,0.06000588391387249,0.0,0.0,0.0,0.0,0.0,0.0
47,0.13058191788898868,1.0,17.632559910260987,0.01266784903583294,0.33067995830204083,0.06015068476205675,0.0,0.0,0.0,0.0,0.0,0.0
48,0.13115118394094671,1.0,17.638984387516793,0.012784283557829571,0.33125487851930485,0.06032588267421746,0.0,0.0,0.0,0.0,0.0,0.0
