n,||u||_2,||u||_inf,E(u),||p||_2,||p||_inf,E(p),||T||_2,||T||_inf,E(T),||S||_2,||S||_inf,E(S)
0,0.07053482742264826,1.0,33.491631946360066,0.0004082231505165085,0.02234733363170518,0.00035437859857861563,0.0,0.0,0.0,0.0,0.0,0.0
1,0.07378756541373865,1.0,27.527203759060498,0.006787942572417391,0.06159873524166291,0.0011242306350163066,0.0,0.0,0.0,0.0,0.0,0.0
2,0.07731105814577383,1.0,24.005468892880458,0.0059922217542589225,0.06945479851648484,0.0012852606239294947,0.0,0.0,0.0,0.0,0.0,0.0
3,0.08067423483492431,1.0,21.791000832651044,0.005375551241081282,0.07897422236541807,0.0018450499808776103,0.0,0.0,0.0,0.0,0.0,0.0
4,0.08373096564068522,1.0,20.31236515099073,0.004834659992532924,0.08834999526250673,0.002762424124721427,0.0,0.0,0.0,0.0,0.0,0.0
5,0.08649297008515323,1.0,19.248469242602944,0.004413976989836159,0.101274618973682,0.004280565657308878,0.0,0.0,0.0,0.0,0.0,0.0
6,0.08901478965115144,1.0,18.45516218749185,0.004124611562229966,0.11999754548697146,0.006793993609799062,0.0,0.0,0.0,0.0,0.0,0.0
7,0.09139953451389123,1.0,17.879079849492246,0.004049755682573531,0.14992684891457464,0.011263668307399874,0.0,0.0,0.0,0.0,0.0,0.0
8,0.09365235497196495,1.0,17.490194816725936,0.004155472823910857,0.18271859226073273,0.01754183028230943,0.0,0.0,0.0,0.0,0.0,0.0
9,0.09574598201718401,1.0,17.238522337204348,0.004419146276720702,0.21332751393499486,0.0244962115177391,0.0,0.0,0.0,0.0,0.0,0.0
10,0.09764708626687897,1.0,17.073597575518036,0.004739516613523364,0.23813171744711706,0.030568956691239255,0.0,0.0,0.0,0.0,0.0,0.0
11,0.09934951499109375,1.0,16.950762321663856,0.005024792056023433,0.2549136919994439,0.03450816307765785,0.0,0.0,0.0,0.0,0.0,0.0
12,0.10087042725546093,1.0,16.843290128122604,0.005269573566444344,0.26458839413613167,0.03632634923249328,0.0,0.0,0.0,0.0,0.0,0.0
13,0.10226552088591981,1.0,16.744425491910658,0.005523931533288737,0.2701731901929748,0.03726628911290252,0.0,0.0,0.0,0.0,0.0,0.0
14,0.10363170686115966,1.0,16.663002222355786,0.005846078483971253,0.27420334172109306,0.038446506314089475,0.0,0.0,0.0,0.0,0.0,0.0
15,0.10506367645392507,1.0,16.639816123084437,0.006265166547042856,0.2779515481988471,0.040023506718753835,0.0,0.0,0.0,0.0,0.0,0.0
16,0.10657817805593277,1.0,16.711626688877413,0.006740432271882881,0.28188592280224317,0.041781809412731005,0.0,0.0,0.0,0.0,0.0,0.0
17,0.10805137797009685,1.0,16.85911365246657,0.007174746697195707,0.2865712983312256,0.04400833751593421,0.0,0.0,0.0,0.0,0.0,0.0
18,0.10932115202264693,1.0,17.013905930806025,0.007511248116346412,0.2921960035897857,0.04689511879878991,0.0,0.0,0.0,0.0,0.0,0.0
