n,||u||_2,||u||_inf,E(u),||p||_2,||p||_inf,E(p),||T||_2,||T||_inf,E(T),||S||_2,||S||_inf,E(S)
0,0.0,0.0,0.0,0.5773502691896264,1.0000000000000042,0.5000000000000016,0.22962536955588533,1.0,2.455137533259828,0.0,0.0,0.0
1,0.43770929788458207,1.199180522316221,15.760400414745538,137.90007007745245,281.92951122032866,13219.237956036139,0.28729121957343395,1.0,1.5569634748488064,0.0,0.0,0.0
2,0.8532421506727788,2.1197450874003674,40.589331666248604,186.9314544063952,362.3996566738414,21824.259896391173,0.3243914019279659,1.0,1.2292131319178168,0.0,0.0,0.0
3,1.2147064139797514,2.7699193502212593,66.68090072774955,220.54303728788452,419.31673308781785,31828.077225249934,0.3522293853938843,1.0,1.049046112336625,0.0,0.0,0.0
4,1.5163653799206789,3.2578053777582983,91.15051211736984,246.4011228654611,462.3794347930801,41144.810524487184,0.3748178919550669,1.0,0.932444288662559,0.0,0.0,0.0
5,1.7608804304003092,3.6220751553508976,112.72971227636941,267.33215087539156,497.7351538506701,49841.03414017036,0.3939916545039125,1.0,0.8502875400643689,0.0,0.0,0.0
6,1.954048579086255,3.862854636907429,130.86477819581935,284.7243148205097,526.499598152363,57978.984152449215,0.410733216753346,1.0,0.7894491297837951,0.0,0.0,0.0
7,2.102889193978512,4.0147285378484865,145.45459476951325,299.40633649252027,550.4703593047582,65601.48205899233,0.4256220217368408,1.0,0.742999556683688,0.0,0.0,0.0
8,2.2146755003683873,4.102962423443473,156.70380165912582,311.9397569895196,570.8220533814538,72739.62045718884,0.4390224423074009,1.0,0.7068533853757767,0.0,0.0,0.0
9,2.2963617611188654,4.155117511688942,165.0049426714533,322.73545794219075,588.3490608615651,79418.26146144407,0.45117544656558844,1.0,0.6783859832597455,0.0,0.0,0.0
10,2.3542439345910053,4.190829474249144,170.84042634547143,332.10724605979834,603.6170767636074,85659.13904357463,0.46224827088263354,1.0,0.655790896410466,0.0,0.0,0.0
11,2.3937848139199027,4.199977039868267,174.7079765240433,340.3002110808841,617.0426556996734,91482.46051332534,0.4723631672253868,1.0,0.637757523240067,0.0,0.0,0.0
12,2.419558395771831,4.1910478074359085,177.0709975714967,347.50801557811417,628.939619146323,96907.6950296205,0.4816145914175473,1.0,0.623299838803734,0.0,0.0,0.0
13,2.4352764330577683,4.170329901328881,178.33113097459074,353.88477140202536,639.5485314575146,101953.94464030964,0.49007956584293116,1.0,0.6116596355301436,0.0,0.0,0.0
14,2.443866191340023,4.142421883595398,178.8178297814358,359.5538569200507,649.0566279936609,106640.10057712732,0.4978238819752761,1.0,0.6022473959468472,0.0,0.0,0.0
15,2.447574864549293,4.110630403187013,178.78929654740878,364.6147183657101,657.6118487888109,110984.88551272429,0.5049057553866876,1.0,0.5946027297504116,0.0,0.0,0.0
16,2.4480826425953213,4.0772815389173696,178.43990242635988,369.14818038896635,665.3329537511493,115006.833664382,0.5113779410220246,1.0,0.5883656472217329,0.0,0.0,0.0
17,2.4466123775336657,4.043964720476801,177.91047175230221,373.22058646192676,672.3168938863126,118724.23759696362,0.5172889399490822,1.0,0.5832545293855658,0.0,0.0,0.0
18,2.4440287020035103,4.011723190990808,177.29907663308103,376.8870040988197,678.6442007584656,122155.07893673763,0.522683686601657,1.0,0.579048799030827,0.0,0.0,0.0
19,2.440923153764656,3.9812016044552236,176.67100307635437,380.1936834689358,684.3829229264413,125316.95375019731,0.5276039500477103,1.0,0.5755752259103958,0.0,0.0,0.0
20,2.4376844129111026,3.9527597195701007,176.0672690819146,383.17994209365935,689.5914998425185,128226.99880614429,0.5320885850720314,1.0,0.5726971728646495,0.0,0.0,0.0
21,2.434554370678527,3.926557939989566,175.51152208605032,385.87957195615945,694.3208420473118,130901.82330594744,0.5361737090394649,1.0,0.5703062385991221,0.0,0.0,0.0
22,2.4316716083083403,3.9026217336004443,175.01540401061766,388.32192839734915,698.6158551260744,133357.44902442084,0.5398928452311956,1.0,0.5683158303861119,0.0,0.0,0.0
23,2.4291042407144623,3.8808888114433744,174.58258348452787,390.5327430657216,702.5165452701337,135609.25904364767,0.5432770531338491,1.0,0.5666562612493379,0.0,0.0,0.0
24,2.426874112687812,3.8612431555027804,174.21169680419408,392.5347462376245,706.0588331628279,137671.95692312735,0.5463550550516972,1.0,0.5652710285142857,0.0,0.0,0.0
25,2.4249741833975498,3.8435390294898117,173.8984310151443,394.34814524922905,709.2751597070145,139559.53624788314,0.5491533625699927,1.0,0.5641139928107388,0.0,0.0,0.0
26,2.4233806904189636,3.8276174852580445,173.63695438791748,395.9909967180138,712.1949451535281,141285.26038885335,0.5516964035069507,1.0,0.5631472347663027,0.0,0.0,0.0
27,2.422061411128639,3.813317343986979,173.42086415942936,397.4795004296587,714.844945429258,142861.65197202822,0.5540066486987714,1.0,0.5623394174793205,0.0,0.0,0.0
28,2.420981074909728,3.8004821845026635,173.24378630121726,398.8282352855421,717.2495364181029,144300.49129264875,0.5561047374986613,1.0,0.5616645249557544,0.0,0.0,0.0
29,2.420104744004053,3.7889645049567573,173.0997308394811,400.05035211524216,719.4309475160941,145612.82272575708,0.5580096008151791,1.0,0.5611008800831534,0.0,0.0,0.0
30,2.41939978202748,3.7786279301836068,172.9832801738124,401.15773404571854,721.409459065266,146808.96807118657,0.5597385806429999,1.0,0.5606303713335878,0.0,0.0,0.0
31,2.418836867971291,3.7693481058072447,172.8896669823993,402.1611321305686,723.203573558161,147898.54572307182,0.5613075452350136,1.0,0.5602378365509557,0.0,0.0,0.0
