n,||u||_2,||u||_inf,E(u),||p||_2,||p||_inf,E(p),||T||_2,||T||_inf,E(T),||S||_2,||S||_inf,E(S)
0,0.07799613994940695,1.0,23.32445368162569,0.01627088480571491,0.15344750649730193,0.006771300427264565,0.0,0.0,0.0,0.0,0.0,0.0
1,0.08930481178947706,1.0,17.520155327419484,0.018467091399366982,0.2516211435600816,0.018214169738989067,0.0,0.0,0.0,0.0,0.0,0.0
2,0.09836258864962757,1.0,15.016461052611676,0.015375663448209271,0.290119420283816,0.026496554800234023,0.0,0.0,0.0,0.0,0.0,0.0
3,0.10561935374991824,1.0,13.666676738311276,0.013549514576936032,0.3343851073006877,0.03812262136625999,0.0,0.0,0.0,0.0,0.0,0.0
4,0.11157879092651957,1.0,12.865495732518884,0.012471253737753556,0.3775179104677228,0.050964516170057,0.0,0.0,0.0,0.0,0.0,0.0
5,0.11656619474179722,1.0,12.364057946245964,0.011903316227164078,0.414839558791465,0.06297865274862455,0.0,0.0,0.0,0.0,0.0,0.0
6,0.12081066645436993,1.0,12.035435926742682,0.011686406073717421,0.44473998211265015,0.07300430595158239,0.0,0.0,0.0,0.0,0.0,0.0
7,0.12448845268983803,1.0,11.813864336960318,0.011704807359931948,0.46786252083686136,0.08083830125291296,0.0,0.0,0.0,0.0,0.0,0.0
8,0.12773036150050704,1.0,11.665435749326775,0.011888175952283074,0.4857422714950647,0.08686357976867809,0.0,0.0,0.0,0.0,0.0,0.0
9,0.1306272577921556,1.0,11.56960791602603,0.012192668472794108,0.49986986132740385,0.09159395088774408,0.0,0.0,0.0,0.0,0.0,0.0
10,0.1332412370514544,1.0,11.511215791341176,0.012583850650133822,0.5113303987131909,0.09542029103839211,0.0,0.0,0.0,0.0,0.0,0.0
11,0.13561774821912892,1.0,11.478761718282831,0.013031916911879977,0.520808864058534,0.09858234303624497,0.0,0.0,0.0,0.0,0.0,0.0
12,0.1377941211370035,1.0,11.46434293098268,0.01351215840448082,0.5287234184869045,0.10120233149300939,0.0,0.0,0.0,0.0,0.0,0.0
13,0.13980195953973407,1.0,11.462910757954472,0.014005974671046563,0.5353509539885823,0.10334059561920254,0.0,0.0,0.0,0.0,0.0,0.0
14,0.14166642512525995,1.0,11.47088833658868,0.014500096820451305,0.5409000109595464,0.10505556483234615,0.0,0.0,0.0,0.0,0.0,0.0
15,0.14340709473351637,1.0,11.485333818995493,0.014984769385378415,0.5455418129983665,0.10641724364556004,0.0,0.0,0.0,0.0,0.0,0.0
16,0.14504001625416252,1.0,11.503901164961432,0.015452635202770917,0.5494195869831011,0.10748869526653207,0.0,0.0,0.0,0.0,0.0,0.0
17,0.14657924391933694,1.0,11.524919868693063,0.01589899524569861,0.5526607669292688,0.10832068877945736,0.0,0.0,0.0,0.0,0.0,0.0
18,0.14803715104652684,1.0,11.547264172977346,0.016321307149280272,0.5553773274491411,0.10895607895025244,0.0,0.0,0.0,0.0,0.0,0.0
19,0.14942463624729024,1.0,11.570169823799514,0.016718723761847274,0.5576639114230785,0.1094301392975788,0.0,0.0,0.0,0.0,0.0,0.0
20,0.15075115765914676,1.0,11.59312071023856,0.017091645834660357,0.5595983691721403,0.10977177383943248,0.0,0.0,0.0,0.0,0.0,0.0
21,0.15202461971809775,1.0,11.615743418867089,0.0174412763725562,0.561243716703793,0.11000639838741641,0.0,0.0,0.0,0.0,0.0,0.0
22,0.15325146498873116,1.0,11.637739778245157,0.01776920028787195,0.5626507113337929,0.1101561634166845,0.0,0.0,0.0,0.0,0.0,0.0
23,0.15443699063763064,1.0,11.65887894210466,0.018077136229130892,0.5638604431606937,0.11023885268319167,0.0,0.0,0.0,0.0,0.0,0.0
24,0.15558562239820944,1.0,11.678995509041826,0.018366840917063282,0.5649066086858604,0.1102686760386471,0.0,0.0,0.0,0.0,0.0,0.0
25,0.15670108991664813,1.0,11.697971257012359,0.018640055581867675,0.5658172094242687,0.11025769458453064,0.0,0.0,0.0,0.0,0.0,0.0
26,0.15778661066972727,1.0,11.71573135708475,0.01889846710153285,0.5666157116507263,0.11021602694360158,0.0,0.0,0.0,0.0,0.0,0.0
27,0.15884506113148944,1.0,11.732258764679717,0.019143695015968114,0.567321886666672,0.11015170161829488,0.0,0.0,0.0,0.0,0.0,0.0
28,0.15987903724176572,1.0,11.747593887981898,0.019377280666700247,0.5679524294845528,0.11007121352625338,0.0,0.0,0.0,0.0,0.0,0.0
29,0.160890821628169,1.0,11.761808850067254,0.01960065602242833,0.5685213496613356,0.10998022020575861,0.0,0.0,0.0,0.0,0.0,0.0
30,0.16188236289116084,1.0,11.774980277585978,0.019815108236680663,0.5690402046505655,0.10988361589198706,0.0,0.0,0.0,0.0,0.0,0.0
31,0.1628553149380237,1.0,11.787179649048955,0.020021765163437642,0.5695183185507455,0.10978523264524756,0.0,0.0,0.0,0.0,0.0,0.0
32,0.1638110997069437,1.0,11.798475500331563,0.020221603294765387,0.5699630677854912,0.10968775734304806,0.0,0.0,0.0,0.0,0.0,0.0
33,0.16475095184594435,1.0,11.808934576526347,0.02041546400765513,0.5703802112422358,0.1095929587278057,0.0,0.0,0.0,0.0,0.0,0.0
