n,||u||_2,||u||_inf,E(u),||p||_2,||p||_inf,E(p),||T||_2,||T||_inf,E(T),||S||_2,||S||_inf,E(S)
0,0.08962215555735965,1.0,17.2584862782647,0.039734849921720224,0.4490659170973649,0.06211255677536906,0.0,0.0,0.0,0.0,0.0,0.0
1,0.10814159287112492,1.0,12.842838496836992,0.03397379991307777,0.5523938295059165,0.0958548690449493,0.0,0.0,0.0,0.0,0.0,0.0
2,0.12076770875670945,1.0,11.235866559162114,0.028180254267744866,0.597711378300417,0.11484958044748517,0.0,0.0,0.0,0.0,0.0,0.0
3,0.1300747335041062,1.0,10.434111810779493,0.025282686035538352,0.637215468861341,0.13168936441307033,0.0,0.0,0.0,0.0,0.0,0.0
4,0.13737668773008654,1.0,9.970432731622324,0.023751539752933676,0.668111354460768,0.14492206586706918,0.0,0.0,0.0,0.0,0.0,0.0
5,0.14336469870807342,1.0,9.680654393141632,0.022974065245069293,0.6917535490616276,0.1550466809456521,0.0,0.0,0.0,0.0,0.0,0.0
6,0.14843224680353784,1.0,9.492545842651797,0.022655124949113193,0.7100356042781775,0.16289137706015167,0.0,0.0,0.0,0.0,0.0,0.0
7,0.15281926980161825,1.0,9.36890744412504,0.022633410449378253,0.7244904598812955,0.16914087814172812,0.0,0.0,0.0,0.0,0.0,0.0
8,0.15668154406129375,1.0,9.288223974485472,0.02281137348988512,0.7361891555802056,0.17426537045299018,0.0,0.0,0.0,0.0,0.0,0.0
9,0.16012611246804934,1.0,9.23702234749713,0.02312507169625656,0.745847159247054,0.1785652750530859,0.0,0.0,0.0,0.0,0.0,0.0
10,0.16323018434325434,1.0,9.206419972240251,0.023530117592887544,0.753945553183641,0.1822309954906647,0.0,0.0,0.0,0.0,0.0,0.0
11,0.16605167367940113,1.0,9.19035682747422,0.023994568409840614,0.7608189659295275,0.18538736560904467,0.0,0.0,0.0,0.0,0.0,0.0
12,0.16863537731972109,1.0,9.18459450466301,0.02449497757027845,0.7667101585384329,0.18812099005273103,0.0,0.0,0.0,0.0,0.0,0.0
13,0.17101680019551269,1.0,9.186111783924233,0.02501399298919316,0.7718018408238835,0.19049545031259554,0.0,0.0,0.0,0.0,0.0,0.0
14,0.17322464116745617,1.0,9.192723988176496,0.025538788556814983,0.7762351898994321,0.19255947473640667,0.0,0.0,0.0,0.0,0.0,0.0
15,0.17528246952813215,1.0,9.20283450193994,0.026059983346387133,0.7801211586499527,0.19435162902071718,0.0,0.0,0.0,0.0,0.0,0.0
16,0.17720989048231212,1.0,9.215267312983563,0.02657086139887573,0.7835479192722319,0.19590336829998073,0.0,0.0,0.0,0.0,0.0,0.0
17,0.17902337870853907,1.0,9.229151355568215,0.02706678467793947,0.7865861357419236,0.1972412025472179,0.0,0.0,0.0,0.0,0.0,0.0
18,0.18073689173002289,1.0,9.243839361342037,0.027544736230518087,0.7892928989496442,0.19838824485553935,0.0,0.0,0.0,0.0,0.0,0.0
19,0.18236233369847515,1.0,9.258850406895878,0.02800295613550308,0.7917147463664292,0.19936525952729955,0.0,0.0,0.0,0.0,0.0,0.0
20,0.18390991407538945,1.0,9.273828902703526,0.028440647347281234,0.7938900006977133,0.2001913095461021,0.0,0.0,0.0,0.0,0.0,0.0
21,0.18538842969781283,1.0,9.288514940152725,0.028857736582494853,0.7958505772162562,0.20088410927363476,0.0,0.0,0.0,0.0,0.0,0.0
22,0.18680548942708097,1.0,9.3027224550985,0.029254680006494293,0.7976233688933494,0.20146017962980642,0.0,0.0,0.0,0.0,0.0,0.0
23,0.18816769506854464,1.0,9.316322793678447,0.02963230629113642,0.7992312964222044,0.20193488453528297,0.0,0.0,0.0,0.0,0.0,0.0
24,0.18948078868371013,1.0,9.32923205867277,0.02999169132541528,0.8006940957337026,0.2023224078720618,0.0,0.0,0.0,0.0,0.0,0.0
25,0.19074977391437598,1.0,9.341401159718325,0.030334059854115625,0.8020289040735138,0.2026357124679114,0.0,0.0,0.0,0.0,0.0,0.0
26,0.1919790170759604,1.0,9.352807858576218,0.030660709907162565,0.803250695427379,0.20288650761892157,0.0,0.0,0.0,0.0,0.0,0.0
27,0.19317233234010156,1.0,9.363450339724379,0.030972956277598537,0.804372606527278,0.2030852398699542,0.0,0.0,0.0,0.0,0.0,0.0
28,0.19433305422234226,1.0,9.373341987250726,0.03127208963837929,0.8054061858059695,0.20324111291641345,0.0,0.0,0.0,0.0,0.0,0.0
29,0.19546409976887938,1.0,9.382507144094944,0.031559348227540876,0.80636158967025,0.20336213618183546,0.0,0.0,0.0,0.0,0.0,0.0
30,0.19656802224228623,1.0,9.390977690094289,0.03183589940194751,0.807247743561357,0.2034551976235497,0.0,0.0,0.0,0.0,0.0,0.0
31,0.19764705768122068,1.0,9.398790312910082,0.03210282875171693,0.808072479627957,0.20352615432409218,0.0,0.0,0.0,0.0,0.0,0.0
32,0.19870316540457683,1.0,9.405984368567156,0.032361134857364665,0.8088426584854955,0.20357993396538662,0.0,0.0,0.0,0.0,0.0,0.0
33,0.19973806331139712,1.0,9.41260024208645,0.032611728136433524,0.8095642793984419,0.20362064082210718,0.0,0.0,0.0,0.0,0.0,0.0
34,0.20075325866946978,1.0,9.418678127927981,0.032855432551801456,0.8102425811259243,0.2036516609915099,0.0,0.0,0.0,0.0,0.0,0.0
