n,||u||_2,||u||_inf,E(u),||p||_2,||p||_inf,E(p),||T||_2,||T||_inf,E(T),||S||_2,||S||_inf,E(S)
0,0.0,0.0,0.0,1.154700538379255,1.0000000000000462,1.9999999999999778,0.33799204701902835,1.0,18.287089203542937,0.0,0.0,0.0
1,0.0010652149468753068,0.006038240166074866,0.0005572212709985827,51.886953175653375,152.9862933350324,688246.085885868,0.42094912429891734,1.0,11.637456065978654,0.0,0.0,0.0
2,0.001618934290047674,0.00628845081031904,0.000585132351697475,81.18440624278934,210.81961674254003,649804.4371298959,0.4748926109326338,1.0,9.183999376211181,0.0,0.0,0.0
3,0.002082327930849785,0.0068272219522790495,0.0006496945671699742,109.55589598289157,258.1020695011792,759264.2422039515,0.5154477206195978,1.0,7.823639731174005,0.0,0.0,0.0
4,0.0024809867115734856,0.007193714537493406,0.0006953073142899075,136.0554148830304,298.4397902998037,868611.0689359,0.5483589493935229,1.0,6.930128227484339,0.0,0.0,0.0
5,0.0028361525563514347,0.007352561474077492,0.0007311132791469784,161.0658669314791,334.0925794774538,969322.8392156803,0.5762909483140526,1.0,6.28601839055198,0.0,0.0,0.0
6,0.0031594978785758885,0.00741193375035431,0.000761452679394408,184.90231547292626,366.35848232092457,1062004.5871531516,0.6006982162668889,1.0,5.7934392422439585,0.0,0.0,0.0
7,0.003457870355230438,0.007614762892778308,0.0007886423619334658,207.78592943430067,396.03802912931036,1147975.3428220567,0.622465418496934,1.0,5.401011302421141,0.0,0.0,0.0
8,0.0037354266700041837,0.007797657474262265,0.0008139989680858069,229.87390507132878,423.66047145509424,1228373.6374136312,0.6421730059795803,1.0,5.078838917536807,0.0,0.0,0.0
9,0.003994738289814711,0.007915858910075487,0.0008382724721515295,251.2810059298278,449.59513400614907,1304094.1083505852,0.6602236960440394,1.0,4.808191269739488,0.0,0.0,0.0
10,0.00423742253586306,0.007987313973727296,0.0008618657392495239,272.09292621784465,474.1105349554858,1375833.2776015084,0.6769091037540437,1.0,4.576658397856547,0.0,0.0,0.0
11,0.004464528303908526,0.008024142616540969,0.0008849575982941718,292.37467366566676,497.4081470219577,1444138.8172899906,0.692447644374922,1.0,4.375650917682393,0.0,0.0,0.0
12,0.004676782272491033,0.00803634905076505,0.0009075797392691704,312.1760402965147,519.6429081717321,1509447.6220724625,0.7070074309723249,1.0,4.199011594896488,0.0,0.0,0.0
13,0.004874748410572686,0.008135297013675161,0.0009296701386014536,331.53533791929016,540.9363464701871,1572113.3787334322,0.7207207936093054,1.0,4.042198108776893,0.0,0.0,0.0
14,0.005058929658002508,0.00821459611728114,0.000951112986893372,350.4820630808185,561.3853534168447,1632426.3319281787,0.7336938599921032,1.0,3.9017785435827697,0.0,0.0,0.0
15,0.0052298293892271575,0.0082791670431437,0.0009717692628389478,369.0388735012878,581.0682672584437,1690627.5544751976,0.746013092192,1.0,3.7751072631533362,0.0,0.0,0.0
16,0.005387984614623669,0.008316553151556747,0.000991499654160222,387.22310087012266,600.0492214962619,1746919.3836023055,0.7577498757436795,1.0,3.660109467696512,0.0,0.0,0.0
17,0.005533979675927354,0.008339604412580373,0.0010101807268201389,405.0479362116109,618.3813318649453,1801473.1678071609,0.7689638224329302,1.0,3.5551337114926125,0.0,0.0,0.0
